current,total,id,name,firstname,lastname,age,date,place,country,nationality,height,weight,injured,photo
37,42,404574,Luis Guilherme,Luis Guilherme,Lira dos Santos,18,2006-02-09,Aracaju,Brazil,Brazil,,,false,https://media.api-sports.io/football/players/404574.png
38,42,186,Son Heung-Min,Heung-Min,Son,32,1992-07-08,Chuncheon,Korea Republic,Korea Republic,183 cm,78 kg,false,https://media.api-sports.io/football/players/186.png
38,42,253,A. Areola,Alphonse Francis,Areola,31,1993-02-27,Paris,France,France,195 cm,94 kg,false,https://media.api-sports.io/football/players/253.png
38,42,697,M. Solomon,Manor,Solomon,25,1999-07-24,Kfar Saba,Israel,Israel,170 cm,66 kg,false,https://media.api-sports.io/football/players/697.png
38,42,1166,T. Werner,Timo,Werner,28,1996-03-06,Stuttgart,Germany,Germany,180 cm,75 kg,false,https://media.api-sports.io/football/players/1166.png
38,42,1736,W. Foderingham,Wesley Andrew,Foderingham,33,1991-01-14,Hammersmith,England,England,185 cm,75 kg,false,https://media.api-sports.io/football/players/1736.png
38,42,2061,Bryan Gil,Bryan,Gil Salvatierra,23,2001-02-11,Barbate,Spain,Spain,175 cm,60 kg,false,https://media.api-sports.io/football/players/2061.png
38,42,2413,Richarlison,Richarlison,de Andrade,27,1997-05-10,Nova Venécia,Brazil,Brazil,184 cm,83 kg,false,https://media.api-sports.io/football/players/2413.png
38,42,2997,Ł. Fabiański,Łukasz Marek,Fabiański,39,1985-04-18,Kostrzyn nad Odrą,Poland,Poland,190 cm,83 kg,false,https://media.api-sports.io/football/players/2997.png
38,42,149551,T. Parrott,Troy Daniel,Parrott,22,2002-02-04,Dublin,Republic of Ireland,Republic of Ireland,185 cm,78 kg,false,https://media.api-sports.io/football/players/149551.png
38,42,162552,D. Scarlett,Dane Pharrell,Scarlett,20,2004-03-24,,England,England,180 cm,76 kg,false,https://media.api-sports.io/football/players/162552.png
